AppID,Name,Genres,Categories,Tags,Rating
227580,"10,000,000","Action, Casual, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","Match 3, Indie, Puzzle, Casual, Pixel Graphics",56
1055140,10-4 Indirect Contact,"Indie, Strategy","Single-player, Steam Cloud, Family Sharing","Indie, Violent, Gore, Strategy, Tactical",31
4303480,10-Man Idle,"Casual, Indie, RPG, Simulation, Early Access","Single-player, Full controller support, Family Sharing",,0
3495020,100 Africa Cats,"Casual, Indie, Free To Play","Single-player, Steam Achievements, Family Sharing",,0
2845270,100 Aliens Cats,"Action, Adventure, Casual, Indie, Sports","Single-player, Steam Achievements, Stats",,0
3209400,100 ANIMALS ON AN ISLAND,"Casual, Free To Play","Single-player, Steam Achievements",,0
2667970,100 Asian Cats,"Action, Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases",,0
3051050,100 Aztec Cats,"Action, Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Family Sharing","Casual, Free to Play, Cats, Hidden Object, Puzzle",31
3466430,100 Berlin Cats,"Casual, Indie","Single-player, Steam Achievements, Family Sharing",,0
3531320,100 Caliber Dash Playtest,,,,0
3789680,100 Camp Cats,"Casual, Indie, Free To Play","Single-player, Steam Achievements, Family Sharing",,0
2743080,100 Capitalist Cats,"Action, Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, In-App Purchases",,0
2796350,100 Cats Belgrade,"Casual, Indie","Single-player, Steam Achievements, Color Alternatives, Custom Volume Controls, Mouse Only Option",,0
2791650,100 Cats Berlin,"Casual, Indie","Single-player, Steam Achievements, Color Alternatives, Custom Volume Controls, Mouse Only Option",,0
3561790,100 Cats India,"Casual, Indie","Single-player, Steam Achievements, Color Alternatives, Custom Volume Controls, Mouse Only Option",,0
3561830,100 Cats Istanbul,"Casual, Indie","Single-player, Steam Achievements, Color Alternatives, Custom Volume Controls, Mouse Only Option",,0
3561760,100 Cats Italy,"Casual, Indie","Single-player, Steam Achievements, Color Alternatives, Custom Volume Controls, Mouse Only Option",,0
2784140,100 Cats London,"Casual, Indie","Single-player, Steam Achievements, Color Alternatives, Custom Volume Controls, Mouse Only Option",,0
3766210,100 Cats Lost In Canada Find & Color,"Casual, Indie, Free To Play","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements",,0
3809590,100 Cats Lost in China Find & Color,"Casual, Indie, Free To Play","Single-player, Multi-player, Co-op, Online Co-op",,0
3766190,100 Cats Lost In England Find & Color,"Casual, Indie, Free To Play","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements",,0
3809600,100 Cats Lost in Italy Find & Color,"Casual, Indie, Free To Play","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements",,0
3766170,100 Cats Lost In Japan Find & Color,"Casual, Indie, Free To Play","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements",,0
3766160,100 Cats Lost In Poland Find & Color,"Casual, Indie, Free To Play","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements",,0
3774950,100 Cats Lost In Space Find & Color,"Casual, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements",,0
3809620,100 Cats Lost in Thailand Find & Color,"Casual, Indie, Free To Play","Single-player, Multi-player, Co-op, Online Co-op",,0
3809570,100 Cats Lost in Turkey Find & Color,"Casual, Indie, Free To Play","Single-player, Multi-player, Co-op, Online Co-op",,0
3718790,100 Cats Lost In USA Find & Color,"Casual, Indie","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements",,0
3743830,100 Cats Lost In World Find & Color,"Casual, Indie","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements",,0
2784250,100 Cats Mexico,"Casual, Indie","Single-player, Steam Achievements, Color Alternatives, Custom Volume Controls, Mouse Only Option",,0
2782380,100 Cats New York,"Casual, Indie, Free To Play","Single-player, Steam Achievements, Color Alternatives, Custom Volume Controls, Mouse Only Option",,0
2800300,100 Cats Singapore,"Casual, Indie","Single-player, Steam Achievements, Color Alternatives, Custom Volume Controls, Mouse Only Option",,0
856260,100 Chests,"Adventure, Casual","Single-player, Family Sharing","Adventure, Casual, Singleplayer, Indie, Puzzle",30
3141120,100 China Cats,"Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Family Sharing",,0
2687190,100 Christmas Cats,"Action, Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, In-App Purchases, Stats, Steam Leaderboards",,0
3517600,100 Closes,"Casual, Indie","Single-player, Steam Achievements, Family Sharing",,0
2954460,100 Crime Cats,"Adventure, Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Family Sharing","Free to Play, Casual, Cats, Cozy, Hidden Object",0
3495030,100 Cyprus Cats,"Casual, Indie, Free To Play","Single-player, Steam Achievements, Family Sharing",,0
3892210,100 Day Term,"Casual, Indie","Single-player, Family Sharing",,0
1704530,100 days,"Adventure, Indie, Simulation","Single-player, Steam Achievements, Family Sharing","Adventure, Simulation, Casual, City Builder, Sandbox",30
1874920,100 Days without delays,"Action, Casual, Indie","Single-player, Family Sharing","Match 3, Casual, Puzzle, 2D, Singleplayer",30
3789640,100 Demon Cats,"Casual, Indie, Free To Play","Single-player, Steam Achievements, Family Sharing",,0
2803000,100 Dino Cats,"Action, Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, In-App Purchases",,0
3048670,100 Dogs,"Casual, Indie","Single-player, Steam Achievements, Camera Comfort, Custom Volume Controls, Playable without Timed Input","Dog, Hidden Object, Cozy, Wholesome, Relaxing",30
3794910,100 Dogs in Brazil,"Casual, Indie","Single-player, Steam Achievements, Family Sharing",,0
3252600,100 Dogs in India,"Casual, Indie","Single-player, Steam Achievements, Family Sharing","Casual, Hidden Object, Dog, Hand-drawn, Cute",30
1743710,100 Doors - Escape from Prison,"Adventure, Casual","Single-player, Steam Achievements, Family Sharing","Puzzle, Logic, Hidden Object, Escape Room, Singleplayer",30
2812900,100 Doors Escape - Let me In!,"Adventure, Casual","Single-player, Steam Achievements, Family Sharing","Escape Room, Puzzle, Adventure, Funny, 2D",30
1238280,100 Doors Game - Escape from School,"Adventure, Casual, Free To Play","Single-player, In-App Purchases, Steam Cloud, Steam Leaderboards","Escape Room, Hidden Object, Puzzle, Logic, Point & Click",41
1684530,100 Doors: Escape from Work,Casual,"Single-player, Family Sharing","Puzzle, Escape Room, Hidden Object, Logic, Singleplayer",30
3495040,100 Dubai Cats,"Casual, Indie, Free To Play","Single-player, Steam Achievements, Family Sharing",,0
3017380,100 Egypt Cats,"Action, Adventure, Casual, Indie, Sports","Single-player, Steam Achievements, Family Sharing",,0
3141080,100 Fantasy Cats,"Casual, Indie","Single-player, Steam Achievements, Family Sharing",,0
