AppID,Name,Genres,Categories,Tags,Rating
3132990,Black Myth: Wukong Benchmark Tool,"Free To Play, Utilities",Single-player,"Free to Play, Utilities, Benchmark, Mythology, 3D",69
1621560,Black One Blood Brothers,"Action, Indie, Simulation, Strategy, Early Access","Single-player, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing","Simulation, Military, Action, Tactical, FPS",44
988490,Black Powder Red Earth®,Strategy,"Single-player, Family Sharing","Strategy, Turn-Based, Violent, Tactical, Military",34
453890,Black Rose,"Adventure, Free To Play, Indie","Single-player, Partial Controller Support","Horror, Free to Play, Indie, Adventure, Survival Horror",42
373240,Black Sails - The Ghost Ship,Adventure,"Single-player, Steam Trading Cards, Family Sharing","Adventure, Point & Click, Horror, Female Protagonist, Pirates",33
507380,Black Sand Drift,"Casual, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing","Casual, Indie, Shoot Em Up",33
1682260,Black Sheep,"Adventure, Indie","Single-player, Family Sharing","Adventure, Horror, Psychological Horror, Thriller, Mystery",35
2101350,BLACK SHEEP TOWN,"Adventure, Indie","Single-player, Family Sharing","Adventure, Visual Novel, Choose Your Own Adventure, 2D, Story Rich",33
1143810,Black Skylands,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Pixel Graphics, Open World, Sandbox, Simulation, Base-Building",60
550650,Black Squad,"Action, Free To Play","Multi-player, Steam Achievements, Steam Trading Cards, In-App Purchases","Free to Play, FPS, Shooter, Multiplayer, Action",74
308060,Black The Fall,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud","Indie, Adventure, Action, Atmospheric, Platformer",48
313140,Blackbay Asylum,"Adventure, Indie","Single-player, Steam Trading Cards, Family Sharing","Adventure, Indie, Horror, Gore, Puzzle",34
249650,Blackguards,"Action, Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","RPG, Turn-Based, Strategy, Tactical, Fantasy",48
314830,Blackguards 2,"Adventure, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","RPG, Strategy, Adventure, Turn-Based, Indie",40
322680,BLACKHOLE,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available","Adventure, Indie, Puzzle-Platformer, Difficult, Action",44
1178160,Blackjack Championship,"Free To Play, Indie, Massively Multiplayer, Sports","Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases","Free to Play, Massively Multiplayer, Indie, Sports, Multiplayer",42
209870,Blacklight: Retribution,"Action, Free To Play","Multi-player, Steam Achievements, Steam Trading Cards, Includes level editor, Family Sharing","Free to Play, FPS, Multiplayer, Action, Shooter",69
729660,Blackout Z: Slaughterhouse Edition,"Action, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards","Action, Indie, Top-Down, Top-Down Shooter, Zombies",50
1003890,Blacksad: Under the Skin,Adventure,"Single-player, Steam Achievements, Full controller support, Family Sharing","Adventure, Detective, Choices Matter, Story Rich, Noir",66
369550,Blacksea Odyssey,"Action, Indie","Single-player, Steam Achievements, Full controller support, Stats, Steam Leaderboards","Action, Indie, Action Roguelike, Rogue-lite, Shoot Em Up",33
3223390,BLACKSHARD,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Walking Simulator, Exploration, Narration, Atmospheric, Surreal",34
433350,BlackShot: Mercenary Warfare FPS,"Action, Casual, Free To Play","Multi-player, MMO, Steam Achievements, Steam Trading Cards, In-App Purchases","Free to Play, FPS, Action, Shooter, Multiplayer",42
508170,BlackSmith HIT,"Action, Casual, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP","Casual, Action, Indie, Multiplayer",40
2292800,Blacksmith Master,"Simulation, Strategy, Early Access","Single-player, Steam Achievements, Steam Trading Cards, Adjustable Text Size, Camera Comfort","Strategy, Simulation, Management, Base-Building, Building",43
2531370,Blacksmith. Song of two Kings.,"Adventure, Indie, Simulation","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Simulation, Crafting, Adventure, Sandbox, Immersive Sim",34
1532690,BLACKTAIL,"Action, Adventure, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size","Story Rich, Action-Adventure, Archery, Mythology, Open World",52
1194930,Blackthorn Arena,"Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing","Strategy, Simulation, CRPG, Real Time Tactics, Turn-Based Tactics",52
3168260,Blackthorn Arena: Reforged,"Simulation, Strategy","Single-player, Steam Achievements, Family Sharing","Simulation, Strategy, Fantasy, Management, Medieval",39
